,city,country,lat,lon,max_temp,humidity,wind_speed,date,cloudiness
190,toora-khem,RU,52.4675,96.11,9.68,91,1.92,1612920749,99
191,labuhan,ID,-6.8844,112.2051,81.43,79,7.67,1612920189,97
192,anadyr,RU,64.75,177.4833,3.2,66,6.71,1612920206,0
193,chapais,CA,49.7834,-74.8492,-4.0,84,3.44,1612920207,40
194,killybegs,IE,54.6333,-8.45,28.99,83,5.01,1612920749,1
195,shuyskoye,RU,59.3736,41.0305,-6.02,91,3.58,1612920749,100
196,cabo san lucas,MX,22.8909,-109.9124,69.01,77,14.97,1612920169,1
197,linhares,BR,-19.3911,-40.0722,69.1,91,2.28,1612920749,100
198,nsanje,MW,-16.92,35.262,73.54,94,0.78,1612920749,100
199,alyangula,AU,-13.8483,136.4192,86.0,70,6.91,1612920208,100
200,padang,ID,-0.9492,100.3543,80.6,78,2.3,1612920196,20
201,hibbing,US,47.4272,-92.9377,-5.8,64,8.05,1612920749,40
202,badiraguato,MX,25.3667,-107.5167,73.4,46,9.22,1612920749,1
203,atuona,PF,-9.8,-139.0333,79.65,72,16.2,1612920188,0
204,souillac,MU,-20.5167,57.5167,77.0,83,3.44,1612920093,40
205,sinnamary,GF,5.3833,-52.95,77.04,81,11.81,1612920687,73
206,caborca,MX,30.5838,-111.101,72.0,18,5.01,1612920750,92
207,jussara,BR,-23.6214,-52.4694,75.2,64,3.44,1612920750,0
208,burnie,AU,-41.0667,145.9167,61.0,85,5.01,1612920213,1
209,muros,ES,42.7762,-9.0603,48.99,88,5.01,1612920202,50
210,pashiya,RU,58.4324,58.2562,-20.61,86,5.99,1612920750,100
211,camopi,GF,3.1655,-52.3158,70.9,97,2.86,1612920750,77
212,ambon,ID,-3.6954,128.1814,89.6,62,4.61,1612920750,20
213,aklavik,CA,68.2191,-135.0107,-34.6,67,3.44,1612920454,0
214,cap malheureux,MU,-19.9842,57.6142,75.0,83,3.0,1612920450,0
215,labuan,MY,5.2767,115.2417,82.4,83,2.3,1612920750,40
216,yulara,AU,-25.2406,130.9889,93.2,43,16.11,1612920210,8
217,castro,BR,-24.7911,-50.0119,58.75,95,7.38,1612920786,97
218,registro,BR,-24.4875,-47.8436,65.44,87,0.92,1612920751,49
219,sao joao da barra,BR,-21.6403,-41.0511,74.16,85,7.27,1612920786,77
220,gambela,ET,8.25,34.5833,76.77,34,3.11,1612920467,19
221,kommunar,RU,59.6206,30.39,3.0,84,2.24,1612920751,97
222,ust-ishim,RU,57.6935,71.1665,-24.99,86,3.85,1612920751,0
223,saqqez,IR,36.2499,46.2735,37.18,72,2.68,1612920751,100
224,zongozotla,MX,19.9833,-97.7333,65.5,82,1.34,1612920751,90
225,fiumicino,IT,41.7675,12.2291,55.4,88,8.05,1612920510,0
226,spring valley,US,36.108,-115.245,62.6,25,6.91,1612920751,90
227,enger,DE,52.1333,8.5667,12.99,85,1.14,1612920751,58
228,hare bay,CA,48.8499,-54.0148,26.6,93,14.97,1612920751,100
229,hithadhoo,MV,-0.6,73.0833,82.06,81,14.72,1612920189,93
230,dicabisagan,PH,17.0818,122.4157,74.05,92,5.79,1612920751,100
231,puerto narino,CO,-3.7703,-70.3831,75.2,100,2.3,1612920751,20
232,canutama,BR,-6.5339,-64.3831,74.57,97,2.28,1612920751,100
233,leh,IN,34.1667,77.5833,13.41,83,1.39,1612920751,96
234,karaton,ID,-6.3424,106.1045,86.0,83,5.75,1612920751,20
235,kloulklubed,PW,7.0419,134.2556,84.2,70,9.22,1612920192,90
236,atasu,KZ,48.6814,71.6433,-13.77,90,11.18,1612920752,98
237,esperance,AU,-33.8667,121.9,73.4,49,5.75,1612920198,40
238,abalak,RU,58.1286,68.5944,-24.34,87,4.68,1612920200,36
239,vanderbijlpark,ZA,-26.7117,27.838,64.99,93,7.49,1612920701,89
240,palmer,US,42.1584,-72.3287,23.0,93,2.13,1612920752,90
241,buraydah,SA,26.326,43.975,48.2,87,2.39,1612920213,100
242,kamenka,RU,51.3223,42.7678,12.99,90,7.31,1612920787,87
243,meadow lake,US,34.8014,-106.5436,59.0,10,11.5,1612920605,75
