,city,country,lat,lon,max_temp,humidity,wind_speed,date,cloudiness
460,narva-joesuu,EE,59.4589,28.0408,4.46,90,5.3,1612920765,0
461,presidente epitacio,BR,-21.7633,-52.1156,70.52,70,4.61,1612920765,99
462,dhangadhi,NP,28.7079,80.5961,60.8,53,0.98,1612920765,100
463,atambua,ID,-9.1061,124.8925,79.95,81,3.36,1612920205,100
464,long xuyen,VN,10.3833,105.4167,77.0,94,8.05,1612920765,40
465,lompoc,US,34.6391,-120.4579,53.6,76,9.22,1612920798,90
466,bartica,GY,6.4,-58.6167,73.4,94,6.91,1612920765,75
467,parrita,CR,9.5201,-84.3225,69.8,68,19.57,1612920766,40
468,lithakia,GR,37.7167,20.8333,50.0,93,5.75,1612920766,20
469,bilibino,RU,68.0546,166.4372,-3.35,87,3.06,1612920766,21
470,yagodnoye,RU,62.55,149.6667,3.29,91,3.44,1612920208,100
471,enugu,NG,6.4402,7.4943,76.32,81,5.39,1612920766,2
472,tazovskiy,RU,67.4667,78.7,-20.04,87,13.4,1612920733,100
473,te anau,NZ,-45.4167,167.7167,58.08,60,6.26,1612920798,76
474,mandera,KE,3.9366,41.867,75.34,38,12.21,1612920702,42
475,anchorage,US,61.2181,-149.9003,8.01,72,9.22,1612920491,90
476,alghero,IT,40.5589,8.3181,59.0,88,20.71,1612920766,0
477,opunake,NZ,-39.4556,173.8583,60.01,85,5.01,1612920766,88
478,porto belo,BR,-27.1578,-48.5531,77.0,78,4.61,1612920766,20
479,port-gentil,GA,-0.7193,8.7815,81.21,81,6.55,1612920217,10
480,butembo,CD,0.15,29.2833,59.95,61,2.66,1612920766,97
481,pakxan,LA,18.3778,103.6601,67.17,66,4.21,1612920766,0
482,senneterre,CA,48.3835,-77.2328,5.0,85,4.61,1612920766,40
483,mandalgovi,MN,45.7625,106.2708,26.76,78,12.55,1612920766,100
484,mogadishu,SO,2.0371,45.3438,76.44,76,22.41,1612920203,100
485,gull lake,CA,50.1001,-108.4847,-16.6,69,26.46,1612920766,75
486,salym,RU,60.0625,71.4789,-24.7,86,4.97,1612920767,76
487,avera,US,33.194,-82.5271,62.6,87,4.25,1612920767,90
488,grindavik,IS,63.8424,-22.4338,30.2,100,6.91,1612920211,90
489,moron,AR,-34.6534,-58.6198,71.01,81,5.99,1612920657,10
490,mananara,MG,-16.1667,49.7667,76.44,88,0.67,1612920767,100
491,norrtalje,SE,59.758,18.705,21.99,85,4.61,1612920668,0
492,cabedelo,BR,-6.9811,-34.8339,80.6,83,5.75,1612920767,0
493,panaba,MX,21.2833,-88.2667,77.05,71,7.92,1612920212,4
494,yumen,CN,40.2833,97.2,36.64,63,18.9,1612920767,99
495,pervomayskoye,RU,43.919,46.7102,41.0,92,4.72,1612920767,13
496,saint-louis,SN,16.3333,-15.0,75.2,41,2.3,1612920767,0
497,balykshi,KZ,47.0667,51.8667,19.4,86,24.61,1612920204,75
498,guangzhou,CN,23.1167,113.25,59.0,94,8.95,1612920471,90
499,luena,AO,-11.7833,19.9167,63.39,97,7.11,1612920200,100
500,qaqortoq,GL,60.7167,-46.0333,33.8,27,32.21,1612920799,5
501,flinders,AU,-34.5833,150.8552,72.0,70,4.0,1612920199,72
502,hervey bay,AU,-25.2986,152.8535,81.0,61,8.01,1612920799,19
503,vilhena,BR,-12.7406,-60.1458,69.85,94,2.84,1612920767,100
504,mount gambier,AU,-37.8333,140.7667,84.2,26,6.91,1612920605,0
505,narsaq,GL,60.9167,-46.05,33.8,27,32.21,1612920799,0
506,kununurra,AU,-15.7667,128.7333,84.2,89,10.36,1612920799,90
507,casper,US,42.8666,-106.3131,1.4,85,10.36,1612920768,75
508,termini imerese,IT,37.9837,13.6956,60.01,52,8.01,1612920768,10
509,kikwit,CD,-5.041,18.8162,70.72,94,2.48,1612920768,100
510,pouembout,NC,-21.1333,164.9,82.72,67,7.94,1612920768,45
511,andenes,NO,69.3143,16.1194,19.4,86,5.75,1612920768,20
512,tarakan,ID,3.3,117.6333,77.0,100,5.75,1612920768,75
513,impfondo,CG,1.6381,18.0667,69.19,39,2.53,1612920800,100
514,palmeira das missoes,BR,-27.8994,-53.3136,60.4,90,5.53,1612920768,69
515,komsomolskiy,UZ,40.4272,71.7189,42.8,81,6.91,1612920064,100
516,baia,RO,47.4167,26.2167,37.99,93,5.75,1612920768,99
517,abha,SA,18.2164,42.5053,46.4,87,4.29,1612920768,0
518,tarko-sale,RU,64.9225,77.785,-19.39,86,13.94,1612920768,100
519,kropotkin,RU,45.4375,40.5756,40.28,91,3.6,1612920752,98
520,porto novo,BJ,6.4965,2.6036,84.2,84,13.8,1612920768,40
521,waingapu,ID,-9.6567,120.2641,85.28,69,8.25,1612920800,91
522,bakaly,RU,55.1789,53.8028,-4.58,88,4.59,1612920768,100
523,neuquen,AR,-38.9516,-68.0591,80.6,41,6.91,1612920768,0
524,mulanje,MW,-16.0316,35.5,69.24,88,2.71,1612920769,100
525,camacha,PT,33.0833,-16.3333,60.8,88,5.75,1612920800,40
526,khani,GE,41.9563,42.9566,44.6,81,9.22,1612920769,0
527,nikita,UA,44.5333,34.2333,52.0,68,8.99,1612920769,100
528,bati,ET,11.1833,40.0167,57.88,80,5.75,1612920769,100
529,naze,JP,28.3667,129.4833,64.4,55,8.05,1612920769,75
530,honiara,SB,-9.4333,159.95,84.49,75,11.3,1612920769,47
531,umm lajj,SA,25.0213,37.2685,76.42,41,2.19,1612920470,0
532,cambridge,CA,43.3601,-80.3127,16.0,79,9.22,1612920497,75
533,zhangjiakou,CN,40.81,114.8794,31.6,77,3.15,1612920769,0
534,dale,US,38.1689,-86.99,32.0,86,8.05,1612920769,90
535,tripoli,LY,32.8752,13.1875,62.74,41,7.96,1612920769,0
536,sapa,PH,5.1544,120.3241,82.63,77,0.85,1612920769,100
537,vostok,RU,46.4856,135.8833,6.51,92,4.83,1612920801,100
538,xingcheng,CN,40.6167,120.7167,39.34,63,5.3,1612920769,0
539,bluefield,US,37.2698,-81.2223,41.0,100,4.61,1612920770,90
540,aberystwyth,GB,52.4155,-4.0829,30.0,34,1.01,1612920770,21
541,pozo colorado,PY,-23.4923,-58.7972,76.19,55,6.8,1612920770,93
542,puerto escondido,MX,15.85,-97.0667,80.6,78,3.85,1612920719,40
543,senador jose porfirio,BR,-2.5908,-51.9542,74.43,96,4.27,1612920770,100
544,chumikan,RU,54.7183,135.315,0.37,86,22.32,1612920157,1
545,mariakani,KE,-3.8633,39.4736,72.34,92,4.47,1612920770,100
546,turayf,SA,31.6725,38.6637,46.4,93,4.61,1612920770,0
547,lima,PE,-12.0432,-77.0282,77.0,83,9.22,1612920000,0
548,menongue,AO,-14.6585,17.691,64.65,89,6.71,1612920770,100
549,peniche,PT,39.3558,-9.3811,57.99,89,17.0,1612920770,100
550,hokitika,NZ,-42.7167,170.9667,58.98,73,11.16,1612920206,26
551,las vegas,US,36.175,-115.1372,62.6,20,6.91,1612920562,1
552,hudiksvall,SE,61.729,17.1036,18.0,89,7.31,1612920770,100
553,zyryanka,RU,65.75,150.85,-13.54,87,9.24,1612920213,1
554,yancheng,CN,33.3856,120.1253,46.92,69,6.33,1612920770,100
